,Year,intersection
0,2011,29.0
1,2012,21.0
2,2013,13.0
3,2014,16.0
4,2015,28.0
5,2016,16.0
6,2017,32.0
7,2018,18.0
8,2019,37.0
9,2020,51.0
10,2021,103.0
11,2022,488.0
