Year,total_docs,hits,documents,prop_doct
2011,2,0,0,0.0
2012,1,0,0,0.0
2013,1,0,0,0.0
2014,1,0,0,0.0
2015,2,0,0,0.0
2016,2,0,0,0.0
2017,2,0,0,0.0
2018,2,1,1,0.5
2019,1,0,0,0.0
2020,2,0,0,0.0
2021,3,0,0,0.0
2022,5,2,1,0.2
