,Year,intersection
0,2011,8.0
1,2012,8.0
2,2013,3.0
3,2014,4.0
4,2015,2.0
5,2016,6.0
6,2017,3.0
7,2018,3.0
8,2019,3.0
9,2020,3.0
10,2021,6.0
11,2022,14.0
