,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2012,0.0,0.0,18.0,18.0,Health Care Equipment & Ser...
1,Europe,2015,0.0,0.0,47.0,47.0,Health Care Equipment & Ser...
2,Europe,2016,0.0,0.0,32.0,32.0,Health Care Equipment & Ser...
3,Europe,2017,0.0,2.0,22.0,24.0,Health Care Equipment & Ser...
4,Europe,2018,0.0,1.0,19.0,20.0,Health Care Equipment & Ser...
5,Europe,2019,0.0,0.0,33.0,33.0,Health Care Equipment & Ser...
6,Europe,2020,0.0,0.0,41.0,41.0,Health Care Equipment & Ser...
7,Europe,2021,0.0,1.0,43.0,44.0,Health Care Equipment & Ser...
8,Europe,2022,0.0,1.0,45.0,46.0,Health Care Equipment & Ser...
