,Sector,intersection,health,climate
0,Diversified,1.0,107.0,6.0
1,Electricity,0.0,94.0,15.0
2,Life Insurance,5.0,67.0,8.0
3,Software & Computer Services,0.0,8.0,4.0
4,Support Services,0.0,4.0,0.0
