Year,total_docs,hits,documents,prop_doct
2011,16,4,3,0.19
2012,15,1,1,0.07
2013,17,2,2,0.12
2014,19,1,1,0.05
2015,25,6,3,0.12
2016,26,7,3,0.12
2017,31,6,3,0.1
2018,32,3,2,0.06
2019,29,2,1,0.03
2020,41,2,2,0.05
2021,95,24,8,0.08
2022,95,24,13,0.14
