,Year,intersection
0,2011,27.0
1,2012,27.0
2,2013,35.0
3,2014,41.0
4,2015,35.0
5,2016,37.0
6,2017,50.0
7,2018,50.0
8,2019,81.0
9,2020,129.0
10,2021,271.0
11,2022,260.0
