Year,total_docs,hits,documents,prop_doct
2011,3,0,0,0.0
2012,10,0,0,0.0
2013,9,1,1,0.11
2014,6,1,1,0.17
2015,6,0,0,0.0
2016,5,0,0,0.0
2017,10,0,0,0.0
2018,15,3,2,0.13
2019,19,4,2,0.11
2020,21,4,2,0.1
2021,46,6,4,0.09
2022,62,8,5,0.08
