Year,total_docs,hits,documents,prop_doct
2011,17,0,0,0.0
2012,13,0,0,0.0
2013,14,0,0,0.0
2014,9,1,1,0.11
2015,16,3,2,0.12
2016,12,1,1,0.08
2017,10,2,2,0.2
2018,12,3,2,0.17
2019,17,6,5,0.29
2020,9,5,4,0.44
2021,20,7,3,0.15
2022,20,5,4,0.2
