,Year,intersection
0,2011,46.0
1,2012,33.0
2,2013,49.0
3,2014,20.0
4,2015,64.0
5,2016,60.0
6,2017,30.0
7,2018,56.0
8,2019,49.0
9,2020,61.0
10,2021,118.0
11,2022,113.0
