,WHO,Year,intersection,climate,health,sum,Sector
0,South-East Asia,2011,0.0,0.0,4.0,4.0,Health Care Equipment & Ser...
1,South-East Asia,2021,0.0,0.0,4.0,4.0,Health Care Equipment & Ser...
