Year,total_speeches,total_speeches_tier2,total_speeches_tier1,total_speeches_sids,percent_sids,percent_tier1,percent_tier2
2011,17,4,1,0,0,5.88235294117647,23.52941176470588
2012,22,6,3,0,0,13.636363636363635,27.27272727272727
2013,39,15,7,0,0,17.94871794871795,38.46153846153847
2014,38,14,2,0,0,5.263157894736842,36.84210526315789
2015,36,15,2,0,0,5.555555555555555,41.66666666666667
2016,46,15,2,0,0,4.3478260869565215,32.608695652173914
2017,42,13,3,0,0,7.142857142857142,30.952380952380953
2018,43,8,2,1,2.3255813953488373,4.651162790697675,18.6046511627907
