,Sector,intersection,climate,health
0,Banks,0.0,1.0,41.0
1,Electricity,0.0,71.0,67.0
2,Financial Services,0.0,2.0,4.0
3,Fixed Line Telecommunications,0.0,2.0,3.0
4,Food Producers,2.0,14.0,94.0
5,General Industrials,0.0,0.0,0.0
6,Industrial Metals & Mining,0.0,0.0,0.0
7,Industrial Transportation,2.0,24.0,122.0
8,Mobile Telecommunications,3.0,110.0,199.0
9,Nonlife Insurance,1.0,11.0,60.0
10,Oil & Gas Producers,18.0,300.0,536.0
