,Year,Intersection (Prop)
0,2011,0.2
1,2012,0.67
2,2013,0.5
3,2014,0.25
4,2015,0.0
5,2016,0.0
6,2017,0.2
7,2018,0.0
8,2019,1.0
9,2020,1.0
10,2021,0.5
11,2022,0.2
