,Year,intersection
0,2011,0.0
1,2012,0.0
2,2013,24.0
3,2014,10.0
4,2015,9.0
5,2016,13.0
6,2017,2.0
7,2018,1.0
8,2019,3.0
9,2020,8.0
10,2021,13.0
11,2022,39.0
