,Year,intersection
0,2011,962.0
1,2012,911.0
2,2013,1169.0
3,2014,1166.0
4,2015,1146.0
5,2016,1447.0
6,2017,1653.0
7,2018,1629.0
8,2019,2191.0
9,2020,3078.0
10,2021,7852.0
11,2022,9067.0
