Year,total_docs,hits,documents,prop_doct
2012,1,0,0,0.0
2013,1,0,0,0.0
2014,2,0,0,0.0
2015,1,0,0,0.0
2016,3,3,1,0.33
2017,4,0,0,0.0
2018,4,2,1,0.25
2019,6,3,2,0.33
2020,5,3,2,0.4
2021,6,1,1,0.17
2022,4,2,2,0.5
