,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011,0.0,5.0,7.0,12.0
1,Medium,2012,1.0,16.0,80.0,97.0
2,Medium,2013,1.0,26.0,75.0,102.0
3,Medium,2014,2.0,33.0,159.0,194.0
4,Medium,2015,7.0,27.0,158.0,192.0
5,Medium,2016,12.0,47.0,167.0,226.0
6,Medium,2017,10.0,40.0,196.0,246.0
7,Medium,2018,13.0,84.0,311.0,408.0
8,Medium,2019,8.0,90.0,281.0,379.0
9,Medium,2020,21.0,98.0,262.0,381.0
10,Medium,2021,15.0,85.0,260.0,360.0
11,Medium,2022,9.0,27.0,128.0,164.0
