,Sector,intersection,climate,health
0,Electronic & Electrical Equ...,0.0,0.0,4.0
1,"Oil Equipment, Services & D...",0.0,4.0,26.0
2,Pharmaceuticals & Biotechno...,0.0,0.0,18.0
3,Support Services,6.0,14.0,75.0
